"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-19 12:14:18";12;0
"2024-02-19 12:14:19";12;0
"2024-02-19 12:14:20";12;0
"2024-02-19 12:14:21";12;0
"2024-02-19 12:14:22";12;0
"2024-02-19 12:14:23";12;0
"2024-02-19 12:14:24";12;0
"2024-02-19 12:14:25";12;0
"2024-02-19 12:14:26";12.13;0
"2024-02-19 12:14:27";12.13;0
"2024-02-19 12:14:28";12.25;0
"2024-02-19 12:14:29";12.25;0
"2024-02-19 12:14:30";12.25;0
"2024-02-19 12:14:31";12.25;0
"2024-02-19 12:14:32";12.25;0
"2024-02-19 12:14:33";12.25;0
"2024-02-19 12:14:34";12.13;0
"2024-02-19 12:14:35";12.13;0
"2024-02-19 12:14:36";12;0
"2024-02-19 12:14:37";12;0
"2024-02-19 12:14:38";12;0
"2024-02-19 12:14:39";12;0
"2024-02-19 12:14:40";12;0
"2024-02-19 12:14:41";12;0
"2024-02-19 12:14:42";12;0
"2024-02-19 12:14:43";12;0
"2024-02-19 12:14:44";12;0
"2024-02-19 12:14:45";12;0
"2024-02-19 12:14:46";12;0
"2024-02-19 12:14:47";12;0
"2024-02-19 12:14:48";12;0
"2024-02-19 12:14:49";12;0
"2024-02-19 12:14:50";12;0
"2024-02-19 12:14:51";12;0
"2024-02-19 12:14:52";12;0
"2024-02-19 12:14:53";12;0
"2024-02-19 12:14:54";12;0
"2024-02-19 12:14:55";12;0
"2024-02-19 12:14:56";12;0
"2024-02-19 12:14:57";12;0
"2024-02-19 12:14:58";12;0
"2024-02-19 12:14:59";12;0
"2024-02-19 12:15:00";12;0
"2024-02-19 12:15:01";12;0
"2024-02-19 12:15:02";12;0
"2024-02-19 12:15:03";12;0
"2024-02-19 12:15:04";12;0
"2024-02-19 12:15:05";12;0
"2024-02-19 12:15:06";12;0
"2024-02-19 12:15:07";12;0
"2024-02-19 12:15:08";12;0
"2024-02-19 12:15:09";12;0
"2024-02-19 12:15:10";12;0
"2024-02-19 12:15:11";12;0
"2024-02-19 12:15:12";12;0
"2024-02-19 12:15:13";12;0
"2024-02-19 12:15:14";12;0
"2024-02-19 12:15:15";12;0
"2024-02-19 12:15:16";12;0
"2024-02-19 12:15:17";12;0
"2024-02-19 12:15:18";12;0
"2024-02-19 12:15:19";12;0
"2024-02-19 12:15:20";12;0
"2024-02-19 12:15:21";12;0
"2024-02-19 12:15:22";12;0
"2024-02-19 12:15:23";12;0
"2024-02-19 12:15:24";12;0
"2024-02-19 12:15:25";12;0
"2024-02-19 12:15:26";12;0
"2024-02-19 12:15:27";12;0
"2024-02-19 12:15:28";12;0
"2024-02-19 12:15:29";12;0
"2024-02-19 12:15:30";12;0
"2024-02-19 12:15:31";12;0
"2024-02-19 12:15:32";12.13;0
"2024-02-19 12:15:33";12.13;0
"2024-02-19 12:15:34";12;0
"2024-02-19 12:15:35";12.13;0
"2024-02-19 12:15:36";12.25;0
"2024-02-19 12:15:37";12.25;0
"2024-02-19 12:15:38";12.25;0
"2024-02-19 12:15:39";12.25;0
"2024-02-19 12:15:40";12.38;0
"2024-02-19 12:15:41";12.38;0
"2024-02-19 12:15:42";12.25;0
"2024-02-19 12:15:43";12.38;0
"2024-02-19 12:15:44";12.38;0
"2024-02-19 12:15:45";12.25;0
"2024-02-19 12:15:46";12.13;0
"2024-02-19 12:15:47";12.13;0
"2024-02-19 12:15:48";12.25;0
"2024-02-19 12:15:49";12.25;0
"2024-02-19 12:15:50";12.13;0
"2024-02-19 12:15:51";12.13;0
"2024-02-19 12:15:52";12.13;0
"2024-02-19 12:15:53";12.13;0
"2024-02-19 12:15:54";12.13;0
"2024-02-19 12:15:55";12.13;0
"2024-02-19 12:15:56";12.13;0
"2024-02-19 12:15:57";12.13;0
"2024-02-19 12:15:58";12;0
"2024-02-19 12:15:59";12;0
"2024-02-19 12:16:00";12;0
"2024-02-19 12:16:01";12;0
"2024-02-19 12:16:02";12;0
"2024-02-19 12:16:03";12;0
"2024-02-19 12:16:04";12;0
"2024-02-19 12:16:05";12;0
"2024-02-19 12:16:06";12;0
"2024-02-19 12:16:07";12;0
"2024-02-19 12:16:08";12;0
"2024-02-19 12:16:09";12;0
"2024-02-19 12:16:10";12;0
"2024-02-19 12:16:11";12;0
"2024-02-19 12:16:12";12;0
"2024-02-19 12:16:13";12;0
"2024-02-19 12:16:14";12;0
"2024-02-19 12:16:15";12;0
"2024-02-19 12:16:16";12;0
"2024-02-19 12:16:17";12;0
"2024-02-19 12:16:18";12;0
"2024-02-19 12:16:19";12;0
"2024-02-19 12:16:20";12;0
"2024-02-19 12:16:21";12;0
"2024-02-19 12:16:22";12.13;0
"2024-02-19 12:16:23";12.13;0
"2024-02-19 12:16:24";12.13;0
"2024-02-19 12:16:25";12.13;0
"2024-02-19 12:16:26";12.13;0
"2024-02-19 12:16:27";12.13;0
"2024-02-19 12:16:28";12;0
"2024-02-19 12:16:29";12;0
"2024-02-19 12:16:30";12;0
"2024-02-19 12:16:31";12;0
"2024-02-19 12:16:32";12;0
"2024-02-19 12:16:33";12;0
"2024-02-19 12:16:34";12;0
"2024-02-19 12:16:35";12;0
"2024-02-19 12:16:36";12;0
"2024-02-19 12:16:37";12;0
"2024-02-19 12:16:38";12;0
"2024-02-19 12:16:39";12;0
"2024-02-19 12:16:40";12;0
"2024-02-19 12:16:41";12;0
"2024-02-19 12:16:42";12;0
"2024-02-19 12:16:43";12;0
"2024-02-19 12:16:44";12;0
"2024-02-19 12:16:45";12;0
"2024-02-19 12:16:46";12;0
"2024-02-19 12:16:47";12;0
"2024-02-19 12:16:48";12;0
"2024-02-19 12:16:49";12;0
"2024-02-19 12:16:50";12;0
"2024-02-19 12:16:51";12;0
"2024-02-19 12:16:52";12;0
"2024-02-19 12:16:53";12;0
"2024-02-19 12:16:54";12;0
"2024-02-19 12:16:55";12;0
"2024-02-19 12:16:56";12;0
"2024-02-19 12:16:57";12;0
"2024-02-19 12:16:58";12;0
"2024-02-19 12:16:59";12;0
"2024-02-19 12:17:00";12;0
"2024-02-19 12:17:01";12;0
"2024-02-19 12:17:02";12;0
"2024-02-19 12:17:03";12;0
"2024-02-19 12:17:04";12;0
"2024-02-19 12:17:05";12;0
"2024-02-19 12:17:06";12;0
"2024-02-19 12:17:07";12;0
"2024-02-19 12:17:08";12;0
"2024-02-19 12:17:09";12;0
"2024-02-19 12:17:10";12;0
"2024-02-19 12:17:11";12;0
"2024-02-19 12:17:12";12;0
"2024-02-19 12:17:13";12;0
"2024-02-19 12:17:14";12;0
"2024-02-19 12:17:15";12;0
"2024-02-19 12:17:16";12;0
"2024-02-19 12:17:17";12;0
"2024-02-19 12:17:18";12;0
"2024-02-19 12:17:19";12;0
"2024-02-19 12:17:20";12;0
"2024-02-19 12:17:21";12;0
"2024-02-19 12:17:22";12;0
"2024-02-19 12:17:23";12;0
"2024-02-19 12:17:24";12;0
"2024-02-19 12:17:25";12;0
"2024-02-19 12:17:26";12;0
"2024-02-19 12:17:27";12;0
"2024-02-19 12:17:28";12;0
"2024-02-19 12:17:29";12;0
"2024-02-19 12:17:30";12;0
"2024-02-19 12:17:31";12;0
"2024-02-19 12:17:32";12;0
"2024-02-19 12:17:33";12;0
"2024-02-19 12:17:34";12;0
"2024-02-19 12:17:35";12;0
"2024-02-19 12:17:36";12;0
"2024-02-19 12:17:37";12;0
"2024-02-19 12:17:38";12;0
"2024-02-19 12:17:39";12;0
"2024-02-19 12:17:40";12;0
"2024-02-19 12:17:41";12;0
"2024-02-19 12:17:42";12;0
"2024-02-19 12:17:43";12;0
"2024-02-19 12:17:44";12;0
"2024-02-19 12:17:45";12;0
"2024-02-19 12:17:46";12;0
"2024-02-19 12:17:47";12;0
"2024-02-19 12:17:48";12;0
"2024-02-19 12:17:49";12;0
"2024-02-19 12:17:50";12;0
"2024-02-19 12:17:51";12;0
"2024-02-19 12:17:52";12;0
"2024-02-19 12:17:53";12;0
"2024-02-19 12:17:54";12;0
"2024-02-19 12:17:55";12;0
"2024-02-19 12:17:56";12;0
"2024-02-19 12:17:57";12;0
"2024-02-19 12:17:58";12;0
"2024-02-19 12:17:59";12.13;0
"2024-02-19 12:18:00";12.13;0
"2024-02-19 12:18:01";12.13;0
"2024-02-19 12:18:02";12.13;0
"2024-02-19 12:18:03";12.25;0
"2024-02-19 12:18:04";12.13;0
"2024-02-19 12:18:05";12.13;0
"2024-02-19 12:18:06";12.25;0
"2024-02-19 12:18:07";12.25;0
"2024-02-19 12:18:08";12.25;0
"2024-02-19 12:18:09";12.13;0
"2024-02-19 12:18:10";12.13;0
"2024-02-19 12:18:11";12.13;0
"2024-02-19 12:18:12";12.13;0
"2024-02-19 12:18:13";12;0
"2024-02-19 12:18:14";12;0
"2024-02-19 12:18:15";12;0
"2024-02-19 12:18:16";12;0
"2024-02-19 12:18:17";12;0
"2024-02-19 12:18:18";12;0
"2024-02-19 12:18:19";12;0
"2024-02-19 12:18:20";12;0
"2024-02-19 12:18:21";12;0
"2024-02-19 12:18:22";12;0
"2024-02-19 12:18:23";12;0
"2024-02-19 12:18:24";12;0
"2024-02-19 12:18:25";12;0
"2024-02-19 12:18:26";12;0
"2024-02-19 12:18:27";12;0
"2024-02-19 12:18:28";12;0
"2024-02-19 12:18:29";12;0
"2024-02-19 12:18:30";12;0
"2024-02-19 12:18:31";12;0
"2024-02-19 12:18:32";12;0
"2024-02-19 12:18:33";12;0
"2024-02-19 12:18:34";12.13;0
"2024-02-19 12:18:35";12.13;0
"2024-02-19 12:18:36";12.13;0
"2024-02-19 12:18:37";12;0
"2024-02-19 12:18:38";12;0
"2024-02-19 12:18:39";12;0
"2024-02-19 12:18:40";12;0
"2024-02-19 12:18:41";12;0
"2024-02-19 12:18:42";12;0
"2024-02-19 12:18:43";12;0
"2024-02-19 12:18:44";12;0
"2024-02-19 12:18:45";12;0
"2024-02-19 12:18:46";12;0
"2024-02-19 12:18:47";12;0
"2024-02-19 12:18:48";12;0
"2024-02-19 12:18:49";12;0
"2024-02-19 12:18:50";12;0
"2024-02-19 12:18:51";12;0
"2024-02-19 12:18:52";12;0
"2024-02-19 12:18:53";12;0
"2024-02-19 12:18:54";12.13;0
"2024-02-19 12:18:55";12.13;0
"2024-02-19 12:18:56";12.13;0
"2024-02-19 12:18:57";12.13;0
"2024-02-19 12:18:58";12.13;0
"2024-02-19 12:18:59";12.13;0
"2024-02-19 12:19:00";12.13;0
"2024-02-19 12:19:01";12.13;0
"2024-02-19 12:19:02";12.13;0
"2024-02-19 12:19:03";12.13;0
"2024-02-19 12:19:04";12;0
"2024-02-19 12:19:05";12;0
"2024-02-19 12:19:06";12;0
"2024-02-19 12:19:07";12;0
"2024-02-19 12:19:08";12;0
"2024-02-19 12:19:09";12;0
"2024-02-19 12:19:10";12;0
"2024-02-19 12:19:11";12;0
"2024-02-19 12:19:12";12;0
"2024-02-19 12:19:13";12;0
"2024-02-19 12:19:14";12;0
"2024-02-19 12:19:15";12;0
"2024-02-19 12:19:16";12;0
"2024-02-19 12:19:17";12;0
"2024-02-19 12:19:18";12;0
"2024-02-19 12:19:19";12;0
"2024-02-19 12:19:20";12;0
"2024-02-19 12:19:21";12;0
"2024-02-19 12:19:22";12.13;0
"2024-02-19 12:19:23";12.13;0
"2024-02-19 12:19:24";12.13;0
"2024-02-19 12:19:25";12.13;0
"2024-02-19 12:19:26";12.13;0
"2024-02-19 12:19:27";12;0
"2024-02-19 12:19:28";12.13;0
"2024-02-19 12:19:29";12.13;0
"2024-02-19 12:19:30";12.13;0
"2024-02-19 12:19:31";12.13;0
"2024-02-19 12:19:32";12;0
"2024-02-19 12:19:33";12;0
"2024-02-19 12:19:34";12;0
"2024-02-19 12:19:35";12;0
"2024-02-19 12:19:36";12;0
"2024-02-19 12:19:37";12;0
"2024-02-19 12:19:38";12;0
"2024-02-19 12:19:39";12;0
"2024-02-19 12:19:40";12;0
"2024-02-19 12:19:41";12;0
"2024-02-19 12:19:42";12;0
"2024-02-19 12:19:43";12;0
"2024-02-19 12:19:44";12;0
"2024-02-19 12:19:45";12;0
"2024-02-19 12:19:46";12;0
"2024-02-19 12:19:47";12;0
"2024-02-19 12:19:48";12;0
"2024-02-19 12:19:49";12;0
"2024-02-19 12:19:50";12;0
"2024-02-19 12:19:51";12;0
"2024-02-19 12:19:52";12;0
"2024-02-19 12:19:53";12;0
"2024-02-19 12:19:54";12;0
"2024-02-19 12:19:55";12.13;0
"2024-02-19 12:19:56";12.13;0
"2024-02-19 12:19:57";12.13;0
"2024-02-19 12:19:58";12.13;0
"2024-02-19 12:19:59";12.13;0
"2024-02-19 12:20:00";12.13;0
"2024-02-19 12:20:01";12.25;0
"2024-02-19 12:20:02";12.25;0
"2024-02-19 12:20:03";12.13;0
"2024-02-19 12:20:04";12.13;0
"2024-02-19 12:20:05";12;0
"2024-02-19 12:20:06";12;0
"2024-02-19 12:20:07";12;0
"2024-02-19 12:20:08";12.13;0
"2024-02-19 12:20:09";12.13;0
"2024-02-19 12:20:10";12.13;0
"2024-02-19 12:20:11";12;0
"2024-02-19 12:20:12";12.13;0
"2024-02-19 12:20:13";12.13;0
"2024-02-19 12:20:14";12.13;0
"2024-02-19 12:20:15";12.13;0
"2024-02-19 12:20:16";12.13;0
"2024-02-19 12:20:17";12.13;0
"2024-02-19 12:20:18";12;0
"2024-02-19 12:20:19";12.13;0
"2024-02-19 12:20:20";12.13;0
"2024-02-19 12:20:21";12.13;0
"2024-02-19 12:20:22";12;0
"2024-02-19 12:20:23";12;0
"2024-02-19 12:20:24";12;0
"2024-02-19 12:20:25";12.13;0
"2024-02-19 12:20:26";12.13;0
"2024-02-19 12:20:27";12.13;0
"2024-02-19 12:20:28";12.13;0
"2024-02-19 12:20:29";12;0
"2024-02-19 12:20:30";12;0
"2024-02-19 12:20:31";12;0
"2024-02-19 12:20:32";12;0
"2024-02-19 12:20:33";12;0
"2024-02-19 12:20:34";12;0
"2024-02-19 12:20:35";12;0
"2024-02-19 12:20:36";12;0
"2024-02-19 12:20:37";12;0
"2024-02-19 12:20:38";12;0
"2024-02-19 12:20:39";12;0
"2024-02-19 12:20:40";12;0
"2024-02-19 12:20:41";12;0
"2024-02-19 12:20:42";12;0
"2024-02-19 12:20:43";12;0
"2024-02-19 12:20:44";12;0
"2024-02-19 12:20:45";12;0
"2024-02-19 12:20:46";12;0
"2024-02-19 12:20:47";12;0
"2024-02-19 12:20:48";12;0
"2024-02-19 12:20:49";12;0
"2024-02-19 12:20:50";12;0
"2024-02-19 12:20:51";12;0
"2024-02-19 12:20:52";12;0
"2024-02-19 12:20:53";12;0
"2024-02-19 12:20:54";12;0
"2024-02-19 12:20:55";12;0
"2024-02-19 12:20:56";12;0
"2024-02-19 12:20:57";12;0
"2024-02-19 12:20:58";12;0
"2024-02-19 12:20:59";12;0
"2024-02-19 12:21:00";12;0
"2024-02-19 12:21:01";12;0
"2024-02-19 12:21:02";12;0
"2024-02-19 12:21:03";12;0
"2024-02-19 12:21:04";12;0
"2024-02-19 12:21:05";12;0
"2024-02-19 12:21:06";12;0
"2024-02-19 12:21:07";12;0
"2024-02-19 12:21:08";12;0
"2024-02-19 12:21:09";12;0
"2024-02-19 12:21:10";12;0
"2024-02-19 12:21:11";12;0
"2024-02-19 12:21:12";12;0
"2024-02-19 12:21:13";12;0
"2024-02-19 12:21:14";12;0
"2024-02-19 12:21:15";12.13;0
"2024-02-19 12:21:16";12.13;0
"2024-02-19 12:21:17";12.13;0
"2024-02-19 12:21:18";12.13;0
"2024-02-19 12:21:19";12.25;0
"2024-02-19 12:21:20";12.25;0
"2024-02-19 12:21:21";12.25;0
"2024-02-19 12:21:22";12.25;0
"2024-02-19 12:21:23";12.38;0
"2024-02-19 12:21:24";12.38;0
"2024-02-19 12:21:25";12.25;0
"2024-02-19 12:21:26";12.25;0
"2024-02-19 12:21:27";12.25;0
"2024-02-19 12:21:28";12.25;0
"2024-02-19 12:21:29";12.13;0
"2024-02-19 12:21:30";12.13;0
"2024-02-19 12:21:31";12;0
"2024-02-19 12:21:32";12;0
"2024-02-19 12:21:33";12;0
"2024-02-19 12:21:34";12;0
"2024-02-19 12:21:35";12;0
"2024-02-19 12:21:36";12;0
"2024-02-19 12:21:37";12;0
"2024-02-19 12:21:38";12;0
"2024-02-19 12:21:39";12;0
"2024-02-19 12:21:40";12;0
"2024-02-19 12:21:41";12;0
"2024-02-19 12:21:42";12;0
"2024-02-19 12:21:43";12;0
"2024-02-19 12:21:44";12;0
"2024-02-19 12:21:45";12;0
"2024-02-19 12:21:46";12;0
"2024-02-19 12:21:47";12;0
"2024-02-19 12:21:48";12;0
"2024-02-19 12:21:49";12;0
"2024-02-19 12:21:50";12.13;0
"2024-02-19 12:21:51";12.13;0
"2024-02-19 12:21:52";12.13;0
"2024-02-19 12:21:53";12.13;0
"2024-02-19 12:21:54";12;0
"2024-02-19 12:21:55";12;0
"2024-02-19 12:21:56";12;0
"2024-02-19 12:21:57";12;0
"2024-02-19 12:21:58";12;0
"2024-02-19 12:21:59";12;0
"2024-02-19 12:22:00";12;0
"2024-02-19 12:22:01";12;0
"2024-02-19 12:22:02";12;0
"2024-02-19 12:22:03";12;0
"2024-02-19 12:22:04";12.13;0
"2024-02-19 12:22:05";12.13;0
"2024-02-19 12:22:06";12.13;0
"2024-02-19 12:22:07";12.13;0
"2024-02-19 12:22:08";12.13;0
"2024-02-19 12:22:09";12.13;0
"2024-02-19 12:22:10";12.13;0
"2024-02-19 12:22:11";12;0
"2024-02-19 12:22:11";12;0
"2024-02-19 12:22:12";12;0
"2024-02-19 12:22:13";12;0
"2024-02-19 12:22:14";12;0
"2024-02-19 12:22:15";12;0
"2024-02-19 12:22:16";12;0
"2024-02-19 12:22:17";12;0
"2024-02-19 12:22:18";12;0
"2024-02-19 12:22:19";12;0
"2024-02-19 12:22:20";12;0
"2024-02-19 12:22:21";12;0
"2024-02-19 12:22:22";12;0
"2024-02-19 12:22:23";12.13;0
"2024-02-19 12:22:24";12.13;0
"2024-02-19 12:22:25";12.13;0
"2024-02-19 12:22:26";12;0
"2024-02-19 12:22:27";12;0
"2024-02-19 12:22:28";12;0
"2024-02-19 12:22:29";12;0
"2024-02-19 12:22:30";12;0
"2024-02-19 12:22:31";12;0
"2024-02-19 12:22:32";12;0
"2024-02-19 12:22:33";12;0
"2024-02-19 12:22:34";12;0
"2024-02-19 12:22:35";12;0
"2024-02-19 12:22:36";12;0
"2024-02-19 12:22:37";12;0
"2024-02-19 12:22:38";12;0
"2024-02-19 12:22:39";12;0
"2024-02-19 12:22:40";12;0
"2024-02-19 12:22:41";12;0
"2024-02-19 12:22:42";12;0
"2024-02-19 12:22:43";12;0
"2024-02-19 12:22:44";12.13;0
"2024-02-19 12:22:45";12.13;0
"2024-02-19 12:22:46";12.13;0
"2024-02-19 12:22:47";12.13;0
"2024-02-19 12:22:48";12;0
"2024-02-19 12:22:49";12;0
"2024-02-19 12:22:50";12;0
"2024-02-19 12:22:51";12;0
"2024-02-19 12:22:52";12;0
"2024-02-19 12:22:53";12;0
"2024-02-19 12:22:54";12;0
"2024-02-19 12:22:55";12;0
"2024-02-19 12:22:56";12;0
"2024-02-19 12:22:57";12;0
"2024-02-19 12:22:58";12;0
"2024-02-19 12:22:59";12;0
"2024-02-19 12:23:00";12;0
"2024-02-19 12:23:01";12;0
"2024-02-19 12:23:02";12;0
"2024-02-19 12:23:03";12;0
"2024-02-19 12:23:04";12;0
"2024-02-19 12:23:05";12;0
"2024-02-19 12:23:06";12;0
"2024-02-19 12:23:07";12;0
"2024-02-19 12:23:08";12;0
"2024-02-19 12:23:09";12;0
"2024-02-19 12:23:10";12;0
"2024-02-19 12:23:11";12;0
"2024-02-19 12:23:12";12;0
"2024-02-19 12:23:13";12;0
"2024-02-19 12:23:14";12;0
"2024-02-19 12:23:15";12;0
"2024-02-19 12:23:16";12;0
"2024-02-19 12:23:17";12;0
"2024-02-19 12:23:18";12;0
"2024-02-19 12:23:19";12;0
"2024-02-19 12:23:20";12;0
"2024-02-19 12:23:21";12;0
"2024-02-19 12:23:22";12;0
"2024-02-19 12:23:23";12;0
"2024-02-19 12:23:24";12.13;0
"2024-02-19 12:23:25";12.13;0
"2024-02-19 12:23:26";12.13;0
"2024-02-19 12:23:27";12.13;0
"2024-02-19 12:23:28";12.13;0
"2024-02-19 12:23:29";12.13;0
"2024-02-19 12:23:30";12.13;0
"2024-02-19 12:23:31";12.13;0
"2024-02-19 12:23:32";12;0
"2024-02-19 12:23:33";12;0
"2024-02-19 12:23:34";12;0
"2024-02-19 12:23:35";12;0
"2024-02-19 12:23:36";12;0
"2024-02-19 12:23:37";12;0
"2024-02-19 12:23:38";12;0
"2024-02-19 12:23:39";12;0
"2024-02-19 12:23:40";12;0
"2024-02-19 12:23:41";12;0
"2024-02-19 12:23:42";12;0
"2024-02-19 12:23:43";12;0
"2024-02-19 12:23:44";12;0
"2024-02-19 12:23:45";12;0
"2024-02-19 12:23:46";12;0
"2024-02-19 12:23:47";12;0
"2024-02-19 12:23:48";12;0
"2024-02-19 12:23:49";12;0
"2024-02-19 12:23:50";12.13;0
"2024-02-19 12:23:51";12.13;0
"2024-02-19 12:23:52";12;0
"2024-02-19 12:23:53";12;0
"2024-02-19 12:23:54";12;0
"2024-02-19 12:23:55";12;0
"2024-02-19 12:23:56";12.13;0
"2024-02-19 12:23:57";12.13;0
"2024-02-19 12:23:58";12.13;0
"2024-02-19 12:23:59";12.13;0
"2024-02-19 12:24:00";12.25;0
"2024-02-19 12:24:01";12.13;0
"2024-02-19 12:24:02";12.13;0
"2024-02-19 12:24:03";12.25;0
"2024-02-19 12:24:04";12.25;0
"2024-02-19 12:24:05";12.25;0
"2024-02-19 12:24:06";12.25;0
"2024-02-19 12:24:07";12.25;0
"2024-02-19 12:24:08";12.38;0
"2024-02-19 12:24:09";12.38;0
"2024-02-19 12:24:10";12.38;0
"2024-02-19 12:24:11";12.38;0
"2024-02-19 12:24:12";12.38;0
"2024-02-19 12:24:13";12.25;0
"2024-02-19 12:24:14";12.25;0
"2024-02-19 12:24:15";12.25;0
"2024-02-19 12:24:16";12.25;0
"2024-02-19 12:24:17";12.13;0
"2024-02-19 12:24:18";12;0
"2024-02-19 12:24:19";12;0
"2024-02-19 12:24:20";12;0
"2024-02-19 12:24:21";12;0
"2024-02-19 12:24:22";12;0
"2024-02-19 12:24:23";12;0
"2024-02-19 12:24:24";12;0
"2024-02-19 12:24:25";12;0
"2024-02-19 12:24:26";12.13;0
"2024-02-19 12:24:27";12.13;0
"2024-02-19 12:24:28";12.13;0
"2024-02-19 12:24:29";12.25;0
"2024-02-19 12:24:30";12.25;0
"2024-02-19 12:24:31";12.13;0
"2024-02-19 12:24:32";12.13;0
"2024-02-19 12:24:33";12.13;0
"2024-02-19 12:24:34";12.13;0
"2024-02-19 12:24:35";12.13;0
"2024-02-19 12:24:36";12;0
"2024-02-19 12:24:37";12;0
"2024-02-19 12:24:38";12;0
"2024-02-19 12:24:39";12;0
"2024-02-19 12:24:40";12;0
"2024-02-19 12:24:41";12;0
"2024-02-19 12:24:42";12;0
"2024-02-19 12:24:43";12;0
"2024-02-19 12:24:44";12;0
"2024-02-19 12:24:45";12;0
"2024-02-19 12:24:46";12;0
"2024-02-19 12:24:47";12;0
"2024-02-19 12:24:48";12;0
"2024-02-19 12:24:49";12;0
"2024-02-19 12:24:50";12;0
"2024-02-19 12:24:51";12.13;0
"2024-02-19 12:24:52";12.13;0
"2024-02-19 12:24:53";12.13;0
"2024-02-19 12:24:54";12.13;0
"2024-02-19 12:24:55";12.13;0
"2024-02-19 12:24:56";12.13;0
"2024-02-19 12:24:57";12.13;0
"2024-02-19 12:24:58";12;0
"2024-02-19 12:24:59";12;0
"2024-02-19 12:25:00";12;0
"2024-02-19 12:25:01";12;0
"2024-02-19 12:25:02";12;0
"2024-02-19 12:25:03";12;0
"2024-02-19 12:25:04";12;0
"2024-02-19 12:25:05";12;0
"2024-02-19 12:25:06";12;0
"2024-02-19 12:25:07";12;0
"2024-02-19 12:25:08";12;0
"2024-02-19 12:25:09";12;0
"2024-02-19 12:25:10";12;0
"2024-02-19 12:25:11";12;0
"2024-02-19 12:25:12";12;0
"2024-02-19 12:25:13";12;0
"2024-02-19 12:25:14";12;0
"2024-02-19 12:25:15";12;0
"2024-02-19 12:25:16";12;0
"2024-02-19 12:25:17";12;0
"2024-02-19 12:25:18";12;0
"2024-02-19 12:25:19";12;0
"2024-02-19 12:25:20";12;0
"2024-02-19 12:25:21";12;0
"2024-02-19 12:25:22";12;0
"2024-02-19 12:25:23";12;0
"2024-02-19 12:25:24";12;0
"2024-02-19 12:25:25";12;0
"2024-02-19 12:25:26";12;0
"2024-02-19 12:25:27";12;0
"2024-02-19 12:25:28";12;0
"2024-02-19 12:25:29";12;0
"2024-02-19 12:25:30";12;0
"2024-02-19 12:25:31";12;0
"2024-02-19 12:25:32";12;0
"2024-02-19 12:25:33";12;0
"2024-02-19 12:25:34";12;0
"2024-02-19 12:25:35";12;0
"2024-02-19 12:25:36";12;0
"2024-02-19 12:25:37";12;0
"2024-02-19 12:25:38";12;0
"2024-02-19 12:25:39";12;0
"2024-02-19 12:25:40";12;0
"2024-02-19 12:25:41";12.13;0
"2024-02-19 12:25:42";12.13;0
"2024-02-19 12:25:43";12.13;0
"2024-02-19 12:25:44";12.13;0
"2024-02-19 12:25:45";12.13;0
"2024-02-19 12:25:46";12.13;0
"2024-02-19 12:25:47";12.13;0
"2024-02-19 12:25:48";12;0
"2024-02-19 12:25:49";12;0
"2024-02-19 12:25:50";12;0
"2024-02-19 12:25:51";12;0
"2024-02-19 12:25:52";12;0
"2024-02-19 12:25:53";12;0
"2024-02-19 12:25:54";12;0
